semana,categoria,rank_semanal,titulo,horas_semanais_visualizadas,semanas_acumuladas_top_10,lançamento_escalonado,genero,ano,mes
2024-04-28,TV (English),9,Heartbreak High,12000000,3,False,"Drama, Romance",2024,abril
2024-04-28,TV (English),10,Bad Dinosaurs,4600000,5,False,"Animation, Short, Adventure",2024,abril
2024-04-28,TV (Non-English),1,The Asunta Case,29400000,1,False,"Biography, Crime, Drama",2024,abril
2024-04-28,TV (Non-English),2,Queen of Tears,85600000,8,True,"Drama, Family, Romance",2024,abril
2024-04-28,TV (Non-English),3,Brigands: The Quest for Gold,13700000,1,False,"Action, Adventure, Drama",2024,abril
2024-04-28,TV (Non-English),4,Deliver Me,9800000,1,False,Reality-TV,2024,abril
2024-04-28,TV (Non-English),5,Anthracite,12100000,3,False,Drama,2024,abril
2024-04-28,TV (Non-English),6,Parasyte: The Grey,9100000,4,False,"Action, Horror, Sci-Fi",2024,abril
2024-04-28,TV (Non-English),7,Crooks,12200000,4,False,Comedy,2024,abril
2024-04-28,TV (Non-English),8,Midsummer Night,4200000,3,False,Drama,2024,abril
2024-04-28,TV (Non-English),9,Goodbye Earth,17700000,1,False,"Drama, Sci-Fi, Thriller",2024,abril
2024-04-28,TV (Non-English),10,The Hijacking of Flight 601,6700000,3,False,"Drama, History, Thriller",2024,abril
2024-04-21,Films (English),1,Rebel Moon — Part Two: The Scargiver,44200000,1,False,"Action, Adventure, Drama",2024,abril
2024-04-21,Films (English),2,Woody Woodpecker Goes to Camp,31300000,2,False,"Animation, Adventure, Comedy",2024,abril
2024-04-21,Films (English),3,What Jennifer Did,23700000,2,False,Documentary,2024,abril
2024-04-21,Films (English),4,Anna,11700000,1,False,"Action, Thriller",2024,abril
2024-04-21,Films (English),5,Rebel Moon — Part One: A Child of Fire,12500000,5,False,"Action, Adventure, Drama",2024,abril
2024-04-21,Films (English),6,Glass,8200000,3,False,"Drama, Horror, Sci-Fi",2024,abril
2024-04-21,Films (English),7,The Bricklayer,5800000,2,False,"Action, Thriller",2024,abril
2024-04-21,Films (English),8,Hotel Transylvania 2,4300000,6,False,"Animation, Adventure, Comedy",2024,abril
2024-04-21,Films (English),9,Damsel,4600000,6,False,"Action, Adventure, Fantasy",2024,abril
2024-04-21,Films (English),10,The Super Mario Bros. Movie,3800000,15,False,"Animation, Adventure, Comedy",2024,abril
2024-04-21,Films (Non-English),1,"Love, Divided",19500000,2,False,"Comedy, Romance",2024,abril
2024-04-21,Films (Non-English),2,Stolen,12800000,2,False,"Action, Crime, Thriller",2024,abril
2024-04-21,Films (Non-English),3,The Tearsmith,9800000,3,False,"Drama, Fantasy, Romance",2024,abril
2024-04-21,Films (Non-English),4,A Journey,7100000,1,False,"Adventure, Family, Fantasy",2024,abril
